Phi [deg],dB(GainTotal) - Theta=90deg Freq=120MHz,dB(GainTotal) - Theta=90deg Freq=150MHz,dB(GainTotal) - Theta=90deg Freq=225MHz,dB(GainTotal) - Theta=90deg Freq=300MHz
81.00000,1.72054,1.43911,1.62830,0.85107
82.00000,1.71209,1.43079,1.43046,0.62221
83.00000,1.70414,1.42378,1.23070,0.37619
84.00000,1.69670,1.41786,1.03101,0.11658
85.00000,1.68976,1.41284,0.83348,-0.15234
86.00000,1.68331,1.40852,0.64027,-0.42552
87.00000,1.67735,1.40475,0.45365,-0.69720
88.00000,1.67188,1.40140,0.27593,-0.96102
89.00000,1.66688,1.39836,0.10947,-1.21014
90.00000,1.66236,1.39557,-0.04339,-1.43752
91.00000,1.65830,1.39300,-0.18037,-1.63628
92.00000,1.65469,1.39065,-0.29928,-1.80013
93.00000,1.65153,1.38854,-0.39811,-1.92379
94.00000,1.64882,1.38674,-0.47510,-2.00352
95.00000,1.64654,1.38535,-0.52879,-2.03746
96.00000,1.64468,1.38448,-0.55811,-2.02581
97.00000,1.64325,1.38427,-0.56243,-1.97093
98.00000,1.64222,1.38488,-0.54159,-1.87709
99.00000,1.64160,1.38649,-0.49599,-1.75018
100.00000,1.64137,1.38926,-0.42651,-1.59726
101.00000,1.64153,1.39338,-0.33457,-1.42611
102.00000,1.64207,1.39904,-0.22205,-1.24477
103.00000,1.64298,1.40641,-0.09125,-1.06120
104.00000,1.64426,1.41565,0.05517,-0.88298
105.00000,1.64590,1.42692,0.21429,-0.71711
106.00000,1.64790,1.44035,0.38301,-0.56983
107.00000,1.65023,1.45604,0.55812,-0.44658
108.00000,1.65291,1.47409,0.73639,-0.35189
109.00000,1.65592,1.49455,0.91464,-0.28937
110.00000,1.65925,1.51745,1.08982,-0.26160
111.00000,1.66291,1.54278,1.25901,-0.27011
112.00000,1.66688,1.57052,1.41952,-0.31526
113.00000,1.67115,1.60059,1.56889,-0.39609
114.00000,1.67573,1.63289,1.70494,-0.51022
115.00000,1.68061,1.66730,1.82575,-0.65362
116.00000,1.68578,1.70364,1.92972,-0.82044
117.00000,1.69124,1.74173,2.01555,-1.00297
118.00000,1.69697,1.78135,2.08226,-1.19156
119.00000,1.70298,1.82224,2.12920,-1.37492
120.00000,1.70925,1.86414,2.15606,-1.54068
121.00000,1.71579,1.90675,2.16287,-1.67628
122.00000,1.72257,1.94977,2.15002,-1.77028
123.00000,1.72960,1.99288,2.11825,-1.81368
124.00000,1.73686,2.03574,2.06865,-1.80110
125.00000,1.74434,2.07801,2.00269,-1.73143
126.00000,1.75203,2.11936,1.92216,-1.60775
127.00000,1.75993,2.15945,1.82922,-1.43659
128.00000,1.76801,2.19796,1.72632,-1.22680
129.00000,1.77627,2.23457,1.61621,-0.98840
130.00000,1.78468,2.26897,1.50184,-0.73156
131.00000,1.79324,2.30088,1.38637,-0.46593
132.00000,1.80192,2.33005,1.27303,-0.20024
133.00000,1.81070,2.35625,1.16509,0.05792
134.00000,1.81958,2.37926,1.06573,0.30209
135.00000,1.82852,2.39892,0.97798,0.52697
136.00000,1.83751,2.41509,0.90462,0.72843
137.00000,1.84652,2.42766,0.84806,0.90341
138.00000,1.85553,2.43656,0.81029,1.04996
139.00000,1.86451,2.44175,0.79278,1.16721
140.00000,1.87345,2.44324,0.79641,1.25537
141.00000,1.88231,2.44106,0.82145,1.31569
142.00000,1.89107,2.43528,0.86751,1.35039
143.00000,1.89970,2.42599,0.93356,1.36262
144.00000,1.90818,2.41333,1.01794,1.35628
145.00000,1.91647,2.39744,1.11846,1.33587
146.00000,1.92455,2.37852,1.23247,1.30617
147.00000,1.93239,2.35675,1.35699,1.27202
148.00000,1.93995,2.33236,1.48884,1.23792
149.00000,1.94723,2.30556,1.62475,1.20778
150.00000,1.95417,2.27661,1.76153,1.18465
151.00000,1.96076,2.24575,1.89613,1.17054
152.00000,1.96697,2.21321,2.02577,1.16644
153.00000,1.97278,2.17926,2.14796,1.17236
154.00000,1.97816,2.14412,2.26062,1.18752
155.00000,1.98308,2.10803,2.36201,1.21060
156.00000,1.98752,2.07121,2.45084,1.23994
157.00000,1.99147,2.03386,2.52619,1.27375
158.00000,1.99491,1.99618,2.58753,1.31030
159.00000,1.99781,1.95835,2.63472,1.34796
160.00000,2.00017,1.92052,2.66793,1.38528
161.00000,2.00198,1.88283,2.68768,1.42098
162.00000,2.00322,1.84541,2.69477,1.45398
163.00000,2.00388,1.80836,2.69024,1.48334
164.00000,2.00398,1.77178,2.67536,1.50828
165.00000,2.00350,1.73575,2.65158,1.52816
166.00000,2.00244,1.70034,2.62049,1.54255
167.00000,2.00082,1.66561,2.58379,1.55116
168.00000,1.99864,1.63161,2.54323,1.55394
169.00000,1.99590,1.59840,2.50057,1.55104
170.00000,1.99263,1.56602,2.45756,1.54286
171.00000,1.98884,1.53453,2.41587,1.53002
172.00000,1.98454,1.50400,2.37707,1.51334
173.00000,1.97976,1.47448,2.34257,1.49382
174.00000,1.97452,1.44606,2.31364,1.47258
175.00000,1.96883,1.41884,2.29134,1.45083
176.00000,1.96274,1.39291,2.27655,1.42978
177.00000,1.95626,1.36841,2.26990,1.41056
178.00000,1.94942,1.34548,2.27183,1.39421
179.00000,1.94226,1.32429,2.28255,1.38157
180.00000,1.93481,1.30501,2.30207,1.37326
